Date;Open;High;Low;Close;Adj Close;Volume
2020-02-03;5822.040039;5857.399902;5804.140137;5832.509766;5832.509766;75677800
2020-02-04;5863.359863;5935.049805;5862.819824;5935.049805;5935.049805;85595000
2020-02-05;5919.060059;6004.330078;5912.490234;5985.399902;5985.399902;107839000
2020-02-06;6045.040039;6050.939941;6008.549805;6038.180176;6038.180176;106153100
2020-02-07;6027.540039;6044.970215;5999.950195;6029.750000;6029.750000;82348500
2020-02-10;6008.479980;6018.310059;5993.910156;6015.669922;6015.669922;65703100
2020-02-11;6047.959961;6060.970215;6032.790039;6054.759766;6054.759766;81568400
2020-02-12;6064.250000;6104.729980;6062.970215;6104.729980;6104.729980;92681200
2020-02-13;6076.919922;6098.259766;6028.279785;6093.140137;6093.140137;92665700
2020-02-14;6096.069824;6096.069824;6067.140137;6069.350098;6069.350098;77985500
2020-02-17;6079.529785;6088.600098;6064.919922;6085.950195;6085.950195;58001900
2020-02-18;6042.379883;6079.500000;6039.939941;6056.819824;6056.819824;89930300
2020-02-19;6086.109863;6111.410156;6072.660156;6111.240234;6111.240234;80156900
2020-02-20;6105.169922;6110.950195;6062.299805;6062.299805;6062.299805;91055800
2020-02-21;6035.029785;6067.290039;5995.140137;6029.720215;6029.720215;97327600
2020-02-24;5875.859863;5884.859863;5765.169922;5791.870117;5791.870117;175269600
2020-02-25;5825.370117;5828.459961;5670.709961;5679.680176;5679.680176;143623800
2020-02-26;5646.140137;5707.310059;5526.140137;5684.549805;5684.549805;161976300
2020-02-27;5571.720215;5613.720215;5421.310059;5495.600098;5495.600098;216328100
2020-02-28;5310.819824;5376.049805;5229.560059;5309.899902;5309.899902;268468000
2020-03-02;5416.020020;5430.049805;5197.569824;5333.520020;5333.520020;201844000
2020-03-03;5408.149902;5509.279785;5371.660156;5393.169922;5393.169922;186265500
2020-03-04;5400.430176;5493.250000;5357.350098;5464.890137;5464.890137;152463500
2020-03-05;5490.520020;5494.160156;5329.240234;5361.100098;5361.100098;155475900
2020-03-06;5253.819824;5284.080078;5117.569824;5139.109863;5139.109863;198425500
2020-03-09;4845.270020;4863.339844;4691.200195;4707.910156;4707.910156;329160800
2020-03-10;4770.620117;4924.839844;4615.160156;4636.609863;4636.609863;280309600
2020-03-11;4716.220215;4766.000000;4603.049805;4610.250000;4610.250000;206895800
2020-03-12;4374.669922;4404.259766;4025.889893;4044.260010;4044.260010;371403200
2020-03-13;4234.370117;4438.509766;4055.189941;4118.359863;4118.359863;326461800
2020-03-16;3886.820068;3962.010010;3632.060059;3881.459961;3881.459961;311603900
2020-03-17;4041.330078;4042.459961;3759.000000;3991.780029;3991.780029;225787000
2020-03-18;3905.530029;3908.719971;3726.449951;3754.840088;3754.840088;214274700
2020-03-19;3833.989990;3909.149902;3691.080078;3855.500000;3855.500000;199534100
2020-03-20;4066.790039;4109.109863;3984.300049;4048.800049;4048.800049;271872900
2020-03-23;3869.010010;4097.819824;3851.169922;3914.310059;3914.310059;195845200
2020-03-24;4087.610107;4242.700195;4038.060059;4242.700195;4242.700195;185439800
2020-03-25;4339.709961;4453.009766;4221.319824;4432.299805;4432.299805;176942500
2020-03-26;4332.790039;4543.580078;4296.060059;4543.580078;4543.580078;150657300
2020-03-27;4433.950195;4471.370117;4288.660156;4351.490234;4351.490234;144021100
2020-03-30;4362.089844;4379.149902;4216.410156;4378.509766;4378.509766;119404100
2020-03-31;4437.779785;4468.520020;4309.720215;4396.120117;4396.120117;151397700
2020-04-01;4259.939941;4266.689941;4186.450195;4207.240234;4207.240234;141856100
2020-04-02;4243.839844;4265.560059;4143.160156;4220.959961;4220.959961;135203200
2020-04-03;4204.810059;4214.589844;4142.279785;4154.580078;4154.580078;124037700
2020-04-06;4298.500000;4353.209961;4268.520020;4346.140137;4346.140137;141469800
2020-04-07;4489.399902;4527.600098;4379.270020;4438.270020;4438.270020;146543100
2020-04-08;4397.359863;4442.750000;4333.089844;4442.750000;4442.750000;96256500
2020-04-09;4512.299805;4543.689941;4409.040039;4506.850098;4506.850098;126589000
2020-04-14;4553.549805;4577.839844;4497.560059;4523.910156;4523.910156;104764600
2020-04-15;4511.870117;4525.500000;4335.589844;4353.720215;4353.720215;119358000
2020-04-16;4402.379883;4418.649902;4318.899902;4350.160156;4350.160156;107745200
2020-04-17;4470.919922;4550.779785;4464.089844;4499.009766;4499.009766;134393000
2020-04-20;4531.339844;4531.339844;4426.240234;4528.299805;4528.299805;79833400
2020-04-21;4467.490234;4477.310059;4357.459961;4357.459961;4357.459961;98896700
2020-04-22;4382.200195;4417.569824;4361.439941;4411.799805;4411.799805;84195800
2020-04-23;4450.189941;4495.899902;4395.750000;4451.000000;4451.000000;90083500
2020-04-24;4387.029785;4448.729980;4366.089844;4393.319824;4393.319824;81295300
2020-04-27;4479.859863;4505.259766;4448.049805;4505.259766;4505.259766;75900400
2020-04-28;4507.419922;4601.939941;4493.509766;4569.790039;4569.790039;104388900
2020-04-29;4566.290039;4678.930176;4552.810059;4671.109863;4671.109863;111685100
2020-04-30;4693.279785;4719.740234;4554.910156;4572.180176;4572.180176;141611100
2020-05-04;4413.140137;4427.740234;4362.129883;4378.229980;4378.229980;124810600
2020-05-05;4455.740234;4492.520020;4419.950195;4483.129883;4483.129883;93373300
2020-05-06;4484.160156;4484.160156;4425.779785;4433.379883;4433.379883;83242500
2020-05-07;4456.439941;4503.939941;4440.979980;4501.439941;4501.439941;78225400
2020-05-08;4538.089844;4560.189941;4519.589844;4549.640137;4549.640137;49408600
2020-05-11;4561.189941;4569.759766;4460.240234;4490.220215;4490.220215;83493200
2020-05-12;4473.430176;4499.390137;4453.649902;4472.500000;4472.500000;99269700
2020-05-13;4420.500000;4422.740234;4336.560059;4344.950195;4344.950195;103285300
2020-05-14;4294.009766;4313.259766;4194.580078;4273.129883;4273.129883;127632000
2020-05-15;4314.970215;4335.770020;4255.189941;4277.629883;4277.629883;111236400
