Date;Adj Close
2020-02-03;5832.509765999999
2020-02-04;5935.049805
2020-02-05;5985.399902
2020-02-06;6038.180176
2020-02-07;6029.75
2020-02-10;6015.669922
2020-02-11;6054.759765999999
2020-02-12;6104.72998
2020-02-13;6093.140136999999
2020-02-14;6069.350098
2020-02-17;6085.950195
2020-02-18;6056.819824
2020-02-19;6111.240234000001
2020-02-20;6062.299805
2020-02-21;6029.720215
2020-02-24;5791.870117
2020-02-25;5679.680176
2020-02-26;5684.549805
2020-02-27;5495.600098
2020-02-28;5309.899902
2020-03-02;5333.52002
2020-03-03;5393.169922
2020-03-04;5464.890136999999
2020-03-05;5361.100098
2020-03-06;5139.109863000001
2020-03-09;4707.910156
2020-03-10;4636.609863000001
2020-03-11;4610.25
2020-03-12;4044.26001
2020-03-13;4118.359863000001
2020-03-16;3881.459961
2020-03-17;3991.780029
2020-03-18;3754.8400880000004
2020-03-19;3855.5
2020-03-20;4048.8000490000004
2020-03-23;3914.3100590000004
2020-03-24;4242.700195
2020-03-25;4432.299805
2020-03-26;4543.580078
2020-03-27;4351.490234000001
2020-03-30;4378.509765999999
2020-03-31;4396.120117
2020-04-01;4207.240234000001
2020-04-02;4220.959961
2020-04-03;4154.580078
2020-04-06;4346.140136999999
2020-04-07;4438.27002
2020-04-08;4442.75
2020-04-09;4506.850098
2020-04-14;4523.910156
2020-04-15;4353.720215
2020-04-16;4350.160156
2020-04-17;4499.009765999999
2020-04-20;4528.299805
2020-04-21;4357.459961
2020-04-22;4411.799805
2020-04-23;4451.0
2020-04-24;4393.319824
2020-04-27;4505.259765999999
2020-04-28;4569.790039
2020-04-29;4671.109863000001
2020-04-30;4572.180176
2020-05-04;4378.22998
2020-05-05;4483.129883
2020-05-06;4433.379883
2020-05-07;4501.439941
2020-05-08;4549.640136999999
2020-05-11;4490.220215
2020-05-12;4472.5
2020-05-13;4344.950195
2020-05-14;4273.129883
2020-05-15;4277.629883
